ds,yhat,Commodity,Market
2021-05-24,70753.36535259848,Tea,Akala
2021-05-26,125425.00478783103,Tea,Akala
2021-05-29,118330.65625485021,Tea,Akala
2021-06-02,125394.58915655741,Tea,Akala
2021-06-12,118269.82499280397,Tea,Akala
2021-06-19,118239.4093616987,Tea,Akala
2021-06-23,125303.34226347777,Tea,Akala
2021-06-26,118208.99373055401,Tea,Akala
2021-06-30,125272.92663250313,Tea,Akala
2021-07-07,125242.51100140103,Tea,Akala
2021-07-14,125212.09536999732,Tea,Akala
2021-07-17,118117.74683695154,Tea,Akala
2021-07-21,125181.67973881707,Tea,Akala
2021-07-24,14288.246274673871,Tea,Akala
2021-07-28,125151.26410786752,Tea,Akala
2021-07-31,118056.91557454618,Tea,Akala
2021-08-04,125120.84847655536,Tea,Akala
2021-08-07,14227.415012349073,Tea,Akala
2021-08-11,21291.34791441918,Tea,Akala
2021-08-14,14196.999381066224,Tea,Akala
2021-08-21,14166.583749204383,Tea,Akala
2021-10-02,117783.17489132492,Tea,Akala
2021-10-27,20956.77596741951,Tea,Akala
2021-11-14,4881.543767314935,Tea,Akala
2021-11-20,117570.26547023532,Tea,Akala
2021-11-28,8665.119714000597,Tea,Akala
2021-12-04,13710.349275835524,Tea,Akala
2021-12-13,14910.220807903628,Tea,Akala
2021-12-20,14879.805176308164,Tea,Akala
2021-12-22,20713.45091407495,Tea,Akala
2022-01-05,124451.70458276736,Tea,Akala
2022-01-09,8482.625924967619,Tea,Akala
2022-01-13,18230.11893929638,Tea,Akala
2022-01-20,121998.78823899123,Tea,Akala
2022-01-23,112220.87959325679,Tea,Akala
2022-01-26,124360.45768817348,Tea,Akala
2022-01-30,112190.46396207786,Tea,Akala
2022-02-09,20500.541495357655,Tea,Akala
2022-02-13,8330.547768709137,Tea,Akala
2022-02-16,20470.12586410198,Tea,Akala
2022-02-23,20439.710233627236,Tea,Akala
2022-02-27,8269.716507194138,Tea,Akala
2022-03-12,13284.530439316935,Tea,Akala
2022-03-16,20348.463341699022,Tea,Akala
2022-03-23,20318.047711209034,Tea,Akala
2022-03-27,8148.0539854493,Tea,Akala
2022-04-09,13162.86791810333,Tea,Akala
2022-04-13,20226.80082039374,Tea,Akala
2022-04-16,116931.53721934586,Tea,Akala
2022-04-23,13102.036658137582,Tea,Akala
2022-04-27,20165.969560473466,Tea,Akala
2022-05-01,7995.97583473691,Tea,Akala
2022-05-05,121542.55378112692,Tea,Akala
2022-05-08,111764.64513553653,Tea,Akala
2022-05-11,123904.22323118424,Tea,Akala
2022-05-18,123873.80760023589,Tea,Akala
2022-05-21,116779.45906739078,Tea,Akala
2022-05-25,123843.39196958915,Tea,Akala
2022-05-29,7874.313312430098,Tea,Akala
2022-06-04,116718.62780605623,Tea,Akala
2022-06-15,123752.14507735122,Tea,Akala
2022-06-18,116657.79654442187,Tea,Akala
2022-06-29,123691.31381511615,Tea,Akala
